gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,AverageMonthlySpend,Churn,predicted_churn,Churn_Probability,CLV,Priority_Score,Priority_Level,Recommendation_Reason,Retention_Action,Revenue_At_Risk
Male,0,Yes,Yes,39,No,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),25.25,947.75,23.69375,0,0,0.214307159562355,984.75,18.46,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward,5.411255778949464
Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),114.45,8375.05,114.7267123287671,0,0,0.0925227454870714,8240.4,35.39,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards,10.589228220995322
Female,0,No,No,1,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,34.7,34.7,17.35,1,1,0.8634960182315277,34.7,60.57,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,29.963311832634012
Male,0,Yes,Yes,54,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,70.7,3770.0,68.54545454545455,0,0,0.167799222499553,3817.8,25.14,Low,Customer currently has low churn risk.,Regular Promotional Email,11.863405030718399
Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.3,264.8,66.2,1,1,0.9227135492249432,255.9,65.49,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,78.70746574888766
Female,0,Yes,Yes,63,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),75.55,4707.85,73.56015625,0,0,0.0161705577090055,4759.65,17.83,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon,1.2216856349153653
Male,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,84.8,6152.4,85.44999999999999,0,0,0.1070941754230309,6020.8,28.62,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards,9.08158607587302
Female,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.65,958.1,22.28139534883721,0,0,0.0974478433070445,867.3,9.86,Low,Customer currently has low churn risk.,Regular Promotional Email,2.0122979642904686
Male,0,No,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.45,943.0,19.64583333333333,0,0,0.0299695896703232,961.15,5.47,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus,0.6128781087581094
Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),102.45,6615.15,98.73358208955224,1,0,0.3632594863297928,6761.7,49.15,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill,37.215934374487276
Female,0,Yes,No,21,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.4,2200.25,100.01136363636364,1,1,0.752984882372568,2192.4,60.4,High,Customer has high monthly charges.,25% Discount,78.6116217196961
Male,0,No,No,11,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,35.65,425.1,35.425000000000004,0,1,0.5917938264037759,392.15,42.8,Medium,Customer is relatively new.,Welcome Offer + Personalized Email,21.09744991129461
Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.75,99.75,49.875,1,1,0.9573698553945058,99.75,67.37,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,95.49764307560196
Female,1,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,90.45,5044.8,90.08571428571427,0,0,0.3977820091401263,4974.75,45.3,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill,35.979382726724424
Male,0,No,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),97.65,6743.55,96.33642857142856,0,0,0.136771253389855,6737.85,33.22,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards,13.35571289351934
Female,1,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,73.85,196.4,49.1,0,1,0.8264229958224707,221.55,58.63,Medium,Customer is relatively new.,Welcome Offer + Personalized Email,61.03133824148946
Male,0,No,No,4,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,74.4,299.7,59.94,1,1,0.7477340162396421,297.6,53.39,Medium,Customer is relatively new.,Welcome Offer + Personalized Email,55.631410808229376
Male,1,No,No,30,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),69.1,2093.9,67.54516129032258,0,0,0.1514859574469138,2073.0,17.88,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus,10.467679659581743
Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,82.75,417.75,69.625,0,1,0.8248530348448155,413.75,59.19,Medium,Customer is relatively new.,Welcome Offer + Personalized Email,68.25658863340848
Female,0,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.4,1725.4,23.96388888888889,0,0,0.0297008199886103,1732.4,8.16,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon,0.7247000077220913
Female,0,No,No,29,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,55.25,1620.2,54.00666666666667,0,0,0.3423595984360915,1602.25,29.59,Low,Customer currently has low churn risk.,Regular Promotional Email,18.915367813594056
Male,0,Yes,No,52,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),61.35,3169.55,59.80283018867925,0,0,0.1712184193662572,3190.2000000000003,23.18,Low,Customer currently has low churn risk.,Regular Promotional Email,10.504250028119879
Male,0,No,No,68,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),76.75,5233.25,75.84420289855072,0,0,0.0802927983565198,5219.0,23.93,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards,6.162472273862894
Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.4,967.85,20.59255319148936,0,0,0.0225376313166581,892.4,4.71,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus,0.43723004754316713
Male,0,No,No,8,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),54.75,438.05,48.672222222222224,0,1,0.6568331112024742,438.0,47.52,Medium,Customer is relatively new.,Welcome Offer + Personalized Email,35.96161283833546
Male,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.7,1421.9,19.478082191780825,0,0,0.0141974483548375,1418.4,5.97,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon,0.2796897325902987
Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.9,323.15,17.952777777777776,0,0,0.145661214781147,338.29999999999995,11.38,Low,Customer currently has low churn risk.,Regular Promotional Email,2.898658174144825
Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,107.95,318.6,79.65,0,1,0.8718664594537583,323.85,62.17,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,94.1179842980332
Female,1,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),83.8,163.7,54.56666666666666,0,1,0.865230548828021,167.6,61.15,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,72.50631999178816
Female,0,No,No,9,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.25,639.65,63.965,1,1,0.6791235581755753,668.25,49.88,Medium,Customer is relatively new.,Welcome Offer + Personalized Email,50.42492419453647
Female,0,No,No,51,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),56.4,2928.5,56.31730769230769,0,0,0.2716542874177397,2876.4,29.11,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward,15.32130181036052
Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.1,100.35,14.335714285714284,0,0,0.0832386402240072,120.6,6.25,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus,1.673096668502545
Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.9,273.2,68.3,0,1,0.9223324488996968,284.70000000000005,65.56,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,87.52934940058122
Female,1,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,1608.15,89.34166666666667,0,1,0.8909182524583013,1601.4,67.98,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount,83.92449938157198
Male,0,Yes,No,30,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,49.9,1441.95,46.51451612903226,0,0,0.4770578951734386,1497.0,38.65,Low,Customer currently has low churn risk.,Regular Promotional Email,23.805188969154585
Male,0,No,No,31,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,71.05,2168.15,67.7546875,0,1,0.5000837023011369,2202.55,42.73,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract,35.530947048495776
Female,0,No,No,45,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),81.65,3618.7,78.66739130434782,0,0,0.0545222049020025,3674.250000000001,16.71,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus,4.451738030248504
Male,0,Yes,No,64,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),89.45,5692.65,87.57923076923076,0,0,0.1482132715323753,5724.8,30.46,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards,13.25767713857097
Male,0,No,No,1,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,59.85,59.85,29.925,1,1,0.8757121838141162,59.85,61.51,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,52.41137420127485
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,69.6,34.8,1,1,0.9129766610646962,69.6,64.15,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,63.54317561010285
Male,1,Yes,Yes,61,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,99.0,5969.3,96.27903225806452,0,0,0.3956419106094211,6039.0,48.88,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill,39.16854915033269
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.05,19.05,9.525,0,0,0.4238228328002517,19.05,29.73,Low,Customer currently has low churn risk.,Regular Promotional Email,8.073824964844794
Male,0,No,No,9,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,45.4,418.8,41.88,1,1,0.8323328109341768,408.6,59.7,Medium,Customer is relatively new.,Welcome Offer + Personalized Email,37.787909616411625
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),114.45,8100.55,110.9664383561644,0,0,0.0744699121581496,8240.4,34.13,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards,8.523081446500223
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.5,19.5,9.75,1,0,0.4192500069770343,19.5,29.42,Low,Customer currently has low churn risk.,Regular Promotional Email,8.17537513605217
Female,0,Yes,No,7,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.25,313.45,39.18125,0,1,0.5786317971765472,309.75,41.59,Medium,Customer is relatively new.,Welcome Offer + Personalized Email,25.604457025062214
Female,0,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),90.55,6130.95,91.50671641791044,0,0,0.1958351319953386,5976.3,34.68,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards,17.73287120217791
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,34.95,1,1,0.9108169656950716,69.9,64.0,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,63.66610590208551
Male,0,Yes,Yes,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.4,745.3,18.178048780487803,0,0,0.1652665816925875,816.0,14.43,Low,Customer currently has low churn risk.,Regular Promotional Email,3.371438266528785
Male,0,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.4,1212.1,71.3,0,1,0.5682793047711466,1142.4,43.79,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract,40.575142360659875
Female,0,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),87.15,183.75,61.25,1,1,0.8400107820259157,174.3,59.41,Medium,Customer is relatively new.,Welcome Offer + Personalized Email,73.20693965355856
Male,0,Yes,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.85,1583.5,23.28676470588235,0,0,0.0232052358936378,1664.95,7.47,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon,0.5766501119568994
Female,0,Yes,No,41,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),104.45,4162.05,99.09642857142858,0,0,0.3829238312330704,4282.45,41.83,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill,39.9963941722942
Female,0,Yes,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.8,1119.9,19.64736842105264,0,0,0.0250546001323135,1108.8,5.64,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus,0.4960810826198073
Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),116.45,8013.55,109.77465753424656,0,0,0.1387626257604053,8384.4,39.13,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards,16.158907769799196
Female,0,Yes,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),84.75,264.85,66.2125,1,1,0.8595476623976414,254.25,61.06,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,72.84666438820011
Female,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.05,1102.4,20.043636363636367,0,0,0.023854596205828,1082.7,5.47,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus,0.4782846539268514
Male,1,No,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.75,5832.0,110.0377358490566,0,1,0.67596033690543,5759.0,67.52,High,Customer has high lifetime value and should be retained.,Premium Support + Free Service Upgrade,74.86260731227637
Female,0,No,No,50,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),89.7,4304.5,84.40196078431373,0,0,0.1847576099179654,4485.0,28.67,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus,16.572757609641496
Male,0,No,No,14,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.95,1178.4,78.56,1,1,0.8301428536589995,1259.3,62.53,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount,74.67134968662701
Male,0,Yes,No,27,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),48.7,1421.75,50.77678571428572,0,0,0.1301442249530328,1314.9,13.72,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward,6.3380237552126975
Female,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),96.6,6827.5,93.52739726027396,0,0,0.0706030024584346,6955.2,29.35,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards,6.820250037484781
Male,0,No,No,62,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),74.3,4698.05,74.57222222222222,0,0,0.1360400063569058,4606.599999999999,25.69,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon,10.1077724723181
Female,0,No,No,12,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,54.3,654.5,50.34615384615385,0,0,0.4957024000230672,651.5999999999999,36.99,Low,Customer currently has low churn risk.,Regular Promotional Email,26.916640321252547
Female,1,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.85,3268.05,72.62333333333333,0,0,0.1634171542778779,3293.4,22.99,Low,Customer currently has low churn risk.,Regular Promotional Email,12.23177399769916
Male,0,Yes,Yes,54,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),79.95,4362.05,79.31,0,0,0.0817462486992124,4317.3,20.87,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus,6.535612583502032
Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.05,1386.9,20.1,0,0,0.0156650085552743,1363.4,5.88,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon,0.3140834215332497
Male,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.4,415.4,19.78095238095237,0,0,0.2417679810737019,388.0,18.29,Low,Customer currently has low churn risk.,Regular Promotional Email,4.690298832829816
Male,0,Yes,Yes,50,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),54.9,2614.1,51.25686274509804,0,0,0.1090936221926745,2745.0,17.27,Low,Customer currently has low churn risk.,Regular Promotional Email,5.98923985837783
Male,0,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.45,1513.6,25.65423728813559,0,0,0.042641542923222,1418.1,7.96,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus,1.0425857244727779
Male,0,Yes,Yes,35,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.65,3161.6,87.82222222222222,0,1,0.6069991662561955,3137.75,53.5,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract,54.41747525486793
Female,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.4,80.95,26.98333333333333,0,1,0.753909194910792,90.8,53.09,Medium,Customer is relatively new.,Welcome Offer + Personalized Email,34.227477448949955
Male,0,Yes,Yes,63,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,75.7,4676.7,73.0734375,0,0,0.0294554663587929,4769.1,18.8,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon,2.2297788033606225
Female,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),110.65,6526.65,110.62118644067796,0,0,0.3552994464236754,6417.700000000001,47.39,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill,39.31388374677969
Female,0,Yes,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.55,583.3,20.832142857142856,0,0,0.1156861308061229,554.85,10.04,Low,Customer currently has low churn risk.,Regular Promotional Email,2.3773499880658258
Female,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),115.15,8078.1,112.19583333333334,0,0,0.1365918471778529,8175.650000000001,38.25,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards,15.728551202529761
Female,0,No,No,63,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),58.55,3503.5,54.7421875,0,0,0.1139519415175936,3688.65,20.92,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon,6.6718861758551045
Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.25,6669.45,92.63125,0,1,0.5068897734026842,6620.75,58.71,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill,47.2674713698003
Female,1,No,No,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,113.2,4689.5,111.6547619047619,1,1,0.6969360645127358,4641.2,65.07,High,Customer has high monthly charges.,25% Discount,78.89316250284169
Male,1,No,No,13,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.5,1201.15,85.79642857142858,1,1,0.8667220415537185,1176.5,64.8,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount,78.43834476061151
Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,79.0,143.65,47.88333333333333,1,1,0.8844851875890289,158.0,62.47,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,69.87432981953329
Female,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.35,1292.65,18.734057971014494,0,0,0.0177265518364724,1315.8000000000002,5.86,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon,0.3430087780357409
Male,0,Yes,Yes,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.75,48.75,24.375,0,1,0.5716338756597195,48.75,40.19,Medium,Customer is relatively new.,Welcome Offer + Personalized Email,27.867151438411323
Male,1,No,No,65,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.05,7108.2,107.7,0,0,0.2340734371910247,7088.25,41.26,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill,25.525708325681244
Male,1,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.0,1802.55,24.692465753424656,0,0,0.0299517339859789,1800.0,8.41,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon,0.7487933496494725
Female,0,No,No,28,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),54.9,1505.15,51.90172413793104,0,0,0.4116262781787867,1537.2,34.21,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward,22.59828267201539
Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.75,1859.1,25.46712328767123,0,0,0.0145509101177615,1782.0,7.27,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon,0.36013502541459713
Female,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.15,168.5,56.16666666666666,0,1,0.8655442007353213,182.3,61.23,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,78.89435389702454
Female,0,No,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.15,390.85,20.571052631578947,1,0,0.1042213238122454,362.7,8.57,Low,Customer currently has low churn risk.,Regular Promotional Email,2.1000596748167446
Male,1,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.35,6339.45,103.92540983606555,0,1,0.5435180098740463,6261.0,60.01,High,Customer has high lifetime value and should be retained.,Premium Support + Free Service Upgrade,56.71610433035673
Female,1,No,No,26,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,66.05,1652.4,61.2,0,1,0.6149878083629046,1717.3,49.07,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract,40.619944742369846
Male,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.65,71.65,35.825,1,1,0.8817777900028605,71.65,61.98,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,63.17937865370496
Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,77.5,15.5,1,0,0.3630702433594169,81.4,25.7,Low,Customer currently has low churn risk.,Regular Promotional Email,7.388479452364135
Male,0,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),92.2,6392.85,92.65,0,0,0.0419651546391216,6269.6,24.94,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards,3.869187257727012
Female,0,No,No,38,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),84.25,3264.5,83.7051282051282,1,0,0.414734917709403,3201.5,40.26,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract,34.941416817017206
Female,1,Yes,No,42,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.2,4599.15,106.95697674418604,0,0,0.4665512818267452,4418.400000000001,48.16,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill,49.081194848173595
Female,0,Yes,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.6,1134.25,19.55603448275862,0,0,0.0323635036222118,1117.2,6.19,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus,0.6343246709953513
Male,0,Yes,No,54,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.4,1621.35,29.479090909090907,0,0,0.2856197114559564,1641.6,25.75,Low,Customer currently has low churn risk.,Regular Promotional Email,8.682839228261074
Female,0,No,No,12,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),78.1,947.3,72.86923076923077,1,1,0.7168080188777243,937.2,53.46,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract,55.982706274350264
