gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,AverageMonthlySpend,Churn,predicted_churn,Churn_Probability,CLV,Priority_Score,Priority_Level,Recommendation_Reason,Retention_Action
Male,0,No,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),81.0,4085.75,78.57211538461539,0,0,0.4257505248326739,4131.0,44.3,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Female,0,Yes,No,22,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,79.2,1742.75,75.77173913043478,1,1,0.5952345093243029,1742.4,47.78,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Male,0,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),86.65,6224.8,85.27123287671233,0,0,0.03898615517343672,6238.8,24.62,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards
Male,0,Yes,Yes,37,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,92.95,3415.25,89.875,0,1,0.6745926896795644,3439.15,59.29,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,90.35,6325.25,87.85069444444444,0,0,0.04099744167261682,6414.849999999999,25.38,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards
Male,0,Yes,Yes,7,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,48.7,340.25,42.53125,1,0,0.48431621332989977,340.90000000000003,35.1,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.15,1683.6,25.128358208955223,0,0,0.03374570173097544,1659.8999999999999,8.19,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon
Male,0,Yes,Yes,51,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),76.4,3966.3,76.275,0,0,0.1113113244563478,3896.4,21.46,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.55,608.5,19.62903225806452,0,0,0.07602337253341579,586.5,7.38,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,No,No,34,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,85.35,2896.6,82.75999999999999,0,1,0.7051331791030739,2901.8999999999996,59.54,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Male,0,Yes,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.8,1514.85,23.30538461538461,0,0,0.028054490401163833,1587.2,7.53,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon
Male,1,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.15,6792.45,102.91590909090908,0,0,0.43393871047296123,6704.75,53.9,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Male,0,No,No,47,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,100.75,4669.2,97.275,0,0,0.3525440040102359,4735.25,41.29,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Female,0,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.6,95.6,47.8,1,1,0.9392044909602788,95.6,66.08,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Female,0,No,No,49,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),59.75,2934.3,58.68600000000001,1,0,0.23982783855060086,2927.75,27.06,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward
Female,0,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),94.1,6302.8,92.68823529411765,0,0,0.07844091927926483,6304.7,27.61,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards
Male,0,No,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.35,779.2,19.48,0,0,0.05967807031612113,754.6500000000001,6.83,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.9,283.75,18.916666666666668,0,0,0.281003238452527,278.59999999999997,20.65,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,1,No,No,43,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.15,4600.7,104.56136363636364,1,0,0.48004320140980405,4650.45,49.92,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Male,1,No,No,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.05,5594.0,98.140350877193,0,1,0.7620920511834347,5658.8,73.2,High,Customer has high lifetime value and should be retained.,Premium Support + Free Service Upgrade
Female,0,No,No,14,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Credit card (automatic),59.1,772.85,51.52333333333333,0,0,0.27690627756801905,827.4,22.29,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,71.35,71.35,35.675,1,1,0.8693509826347248,71.35,61.1,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Male,0,Yes,Yes,16,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,55.85,857.8,50.45882352941176,0,0,0.17243448240579076,893.6,15.21,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.05,7554.05,106.3950704225352,0,1,0.5168581232366372,7423.5,62.23,High,Customer has high lifetime value and should be retained.,Premium Support + Free Service Upgrade
Male,1,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),84.1,5981.65,81.94041095890411,0,0,0.07628740609331619,6055.2,26.59,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards
Female,0,Yes,Yes,23,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.3,1702.9,70.95416666666667,0,1,0.5651490448784156,1731.8999999999999,45.64,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Male,0,No,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.7,467.15,21.23409090909091,0,0,0.2512943602304521,518.6999999999999,19.41,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.15,20.15,10.075,1,1,0.5158336023708845,20.15,36.18,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.75,69.75,34.875,1,1,0.7813348129136923,69.75,54.94,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,1,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.2,2931.0,88.81818181818181,1,1,0.8578976309816772,2982.4,70.52,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount
Male,0,Yes,Yes,17,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,80.85,1400.85,77.82499999999999,1,1,0.6609763081161867,1374.4499999999998,51.09,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Female,0,No,No,4,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,33.65,137.85,27.57,1,1,0.6665729506780169,134.6,47.13,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,0,No,No,36,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,55.8,1941.5,52.472972972972975,0,0,0.2467864432580995,2008.8,24.32,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,No,No,50,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),39.7,1932.75,37.89705882352941,0,0,0.045251957888128,1985.0000000000002,10.13,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,0,Yes,Yes,48,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),29.5,1423.05,29.04183673469388,0,0,0.23827008723281198,1416.0,21.65,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward
Female,0,No,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.15,970.85,19.03627450980392,0,0,0.0205554629945096,1007.4999999999999,4.97,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),79.55,5810.9,79.60136986301369,0,0,0.027193598880147978,5727.599999999999,22.0,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards
Male,0,No,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),24.8,223.9,20.354545454545452,0,0,0.32376035174863294,248.0,23.53,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward
Female,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.65,391.7,20.61578947368421,0,0,0.24718630633653368,353.7,18.54,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.95,79.95,39.975,1,1,0.934357944539628,79.95,65.69,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.3,19.3,9.65,1,1,0.5097057421524026,19.3,35.75,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,No,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.05,811.65,81.16499999999999,0,1,0.8855260365570661,846.4499999999999,64.96,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Male,0,No,No,2,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,90.75,174.75,58.25,0,1,0.839798664280247,181.5,59.42,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,0,Yes,No,40,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),78.85,3126.85,76.26463414634146,0,1,0.554125204045252,3154.0,49.86,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Male,0,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),99.5,6841.45,97.735,0,0,0.3482982526498953,6865.5,48.47,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Female,0,Yes,No,37,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,99.2,3754.6,98.80526315789471,1,0,0.44038624930129094,3670.4,43.71,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Male,0,No,Yes,18,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),80.55,1406.65,74.03421052631579,0,1,0.6747742678960628,1449.8999999999999,52.32,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Male,1,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.2,834.7,69.55833333333334,0,1,0.7799698318995397,772.2,57.31,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,0,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.2,627.4,69.71111111111111,1,1,0.8699234987694878,681.6,63.29,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,75.25,242.0,60.5,1,1,0.8370307396370432,225.75,59.38,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Male,0,Yes,Yes,55,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),59.45,3157.0,56.375,0,0,0.07933816205719214,3269.75,17.03,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward
Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,93.35,3092.0,90.94117647058825,0,1,0.7684022118317685,3080.5499999999997,64.6,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),44.95,2168.9,46.1468085106383,0,0,0.21472562157132855,2067.7000000000003,22.29,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),26.1,980.35,28.01,0,0,0.055136186499663224,887.4000000000001,6.97,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.2,65.95,16.4875,0,0,0.451933720036646,60.599999999999994,31.85,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.25,711.9,22.96451612903226,0,0,0.03496476667643404,637.5,4.68,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,0,No,No,33,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,59.4,1952.8,57.43529411764706,0,0,0.1591058232599981,1960.2,18.02,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,Yes,Yes,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),95.0,4368.85,94.975,0,0,0.37187268199528634,4275.0,41.03,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Male,0,No,No,40,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,61.9,2647.1,64.56341463414634,0,0,0.1595049478693635,2476.0,19.85,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,118.65,8477.6,117.74444444444444,0,0,0.17295348225207632,8424.15,41.67,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Male,0,No,No,1,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,54.35,54.35,27.175,1,1,0.7652307895825439,54.35,53.76,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,0,Yes,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),64.45,4528.0,62.02739726027397,0,0,0.027333928382682407,4640.400000000001,18.2,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon
Female,0,Yes,Yes,22,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.15,1790.65,77.85434782608696,0,1,0.741720239885718,1763.3000000000002,58.11,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Male,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.2,845.6,17.99148936170213,0,0,0.07262568620118351,929.1999999999999,8.34,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.0,1210.3,21.6125,0,0,0.016926270323268256,1155.0,5.24,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.45,20.45,10.225,0,0,0.41958992396976874,20.45,29.44,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,No,No,12,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,75.85,854.45,65.72692307692309,0,1,0.5056163813629757,910.1999999999999,38.59,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,No,31,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,80.45,2429.1,75.909375,0,1,0.7236236366995349,2493.9500000000003,59.4,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Male,0,Yes,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.95,100.4,16.733333333333334,1,1,0.7845458080258281,124.75,55.36,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,0,Yes,Yes,67,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,75.5,5229.45,76.90367647058824,0,0,0.09698581637993396,5058.5,24.54,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.45,44.45,22.225,0,1,0.6273504384214849,44.45,44.07,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Male,0,Yes,No,40,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,42.35,1716.45,41.864634146341466,1,0,0.20355527445915372,1694.0,20.19,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),74.55,3023.55,71.98928571428571,0,0,0.2658742432610541,3056.5499999999997,29.34,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.3,75.3,37.65,1,1,0.9348163578334847,75.3,65.7,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Male,0,No,No,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,94.8,4837.6,93.03076923076924,1,0,0.4085425756896661,4834.8,45.56,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Male,0,Yes,Yes,42,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),48.15,2032.3,47.26279069767442,0,0,0.045652966663558336,2022.3,10.29,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Male,0,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.65,436.9,18.204166666666666,0,0,0.09629294077153464,451.95,8.33,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.55,70.55,35.275,1,1,0.9120363169159047,70.55,64.09,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,10.075,0,0,0.41728914958541835,20.15,29.28,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),106.6,5893.95,103.40263157894736,0,1,0.5730727576807768,5969.599999999999,61.06,High,Customer has high lifetime value and should be retained.,Premium Support + Free Service Upgrade
Male,0,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.0,1430.05,89.378125,0,1,0.7654653110890338,1365.0,58.37,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Male,0,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.4,313.0,24.07692307692308,0,0,0.11951572093024256,304.79999999999995,9.44,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,0,Yes,Yes,54,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),69.95,3871.85,70.39727272727272,0,0,0.025090939907573634,3777.3,15.01,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,0,No,No,7,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.85,458.1,57.2625,0,1,0.7817018832744291,467.94999999999993,56.36,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,0,Yes,Yes,33,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),86.15,2745.7,80.75588235294117,1,1,0.5976731258246568,2842.9500000000003,51.81,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Male,0,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.15,341.35,20.079411764705885,0,0,0.2773347823729838,322.4,20.54,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,No,Yes,21,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,64.85,1336.8,60.76363636363636,0,0,0.15711213500512033,1361.85,15.78,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,1,Yes,No,30,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,74.85,2181.75,70.37903225806451,0,0,0.2657733093784165,2245.5,26.48,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Male,0,No,No,3,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,50.5,147.75,36.9375,0,1,0.5668647926308973,151.5,40.21,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Male,0,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,72.9,818.45,68.20416666666667,0,1,0.7064850847526829,801.9000000000001,52.27,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,0,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),115.05,7133.45,113.22936507936508,0,0,0.28139474324241576,7133.099999999999,44.73,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Male,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.0,348.8,18.357894736842105,0,0,0.33454657292938067,342.0,24.62,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.55,128.6,18.37142857142857,0,0,0.2742672306562331,117.30000000000001,19.61,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,No,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,101.1,4674.4,99.45531914893616,0,1,0.6319798806007462,4650.599999999999,60.56,High,Customer has high monthly charges.,25% Discount
Male,0,No,No,21,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.1,1737.45,78.97500000000001,0,1,0.8538283206514239,1766.1,65.96,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount
Male,0,No,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.15,1498.85,21.72246376811594,0,0,0.03393936814015368,1642.1999999999998,8.14,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon
Female,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.1,50.1,25.05,0,1,0.8325142503119565,50.1,58.45,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,0,Yes,No,25,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.6,1797.75,69.14423076923077,0,1,0.7127508490790064,1864.9999999999998,56.44,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Female,0,No,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.75,498.1,19.924,0,0,0.04375455974501164,474.0,4.73,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,0,Yes,No,30,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,2624.25,84.65322580645162,1,1,0.8074031138936572,2550.0,65.47,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.55,184.1,61.36666666666667,1,1,0.8589013116532768,161.1,60.69,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),106.8,5498.8,105.74615384615385,0,0,0.4782500829142976,5446.8,52.59,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Female,0,Yes,Yes,57,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,84.5,4845.4,83.54137931034482,0,0,0.08861627558456527,4816.5,23.1,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.05,369.1,23.06875,0,0,0.10138858146502606,375.75,8.42,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,0,Yes,Yes,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),83.7,6096.9,83.51917808219177,0,0,0.0294920297325684,6026.400000000001,23.21,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards
Female,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.8,160.75,53.583333333333336,1,1,0.862638008365346,151.6,60.92,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
